Name,Phone,CPR,Status,Is Winner,Hits,Last Hit,Created At,Updated At
"أحمد تركي العجمي","31281118","294985923","inactive",0,107,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"بدر ناصر الكواري","35925664","741988819","active",0,77,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"فهد عائشة الخليفة","38984808","092979477","active",0,17,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"عائشة عبدالرحمن آل سعود","34427353","596823112","active",0,95,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"إبراهيم ريم آل نهيان","33469655","506219042","inactive",0,138,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"سلمان ناصر العجمي","32175165","907143434","inactive",0,18,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"ناصر خالد الجودر","33805752","892299233","active",0,82,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"بدر يوسف الخليفة","38119388","125654054","active",0,88,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"سارة يوسف الصباح","39676743","910629356","blocked",0,43,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"تركي جاسم الجودر","34017197","690453125","active",0,5,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"حصة عائشة الكواري","39746668","789476578","blocked",0,13,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"سلمان خالد البوديري","34930012","649183541","inactive",0,8,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"لطيفة مريم الغامدي","38536311","049579207","active",0,100,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"ناصر نورة آل ثاني","32407676","169137112","blocked",0,60,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"ناصر ناصر المطيري","32024637","403209464","blocked",0,107,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"صالح ريم آل سعود","35538457","821241714","active",0,133,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"يوسف مريم السبيعي","32463883","502109360","inactive",0,136,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"ياسر يوسف القحطاني","39753979","893867937","blocked",0,121,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"فهد عبدالرحمن الذوادي","37404554","932457872","active",0,120,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"بدر لطيفة الجودر","31879577","047637373","active",0,89,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"مريم العنود الكواري","36997842","554110319","inactive",0,15,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"ناصر مشعل الصباح","31847743","965327492","inactive",0,90,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"لطيفة محمد آل سعود","34302554","723545034","blocked",0,75,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"صالح خالد المطيري","39530436","016544844","inactive",0,102,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"لطيفة صالح العتيبي","37404676","268137439","inactive",0,51,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
"عائشة نورة بوجيري","37238931","420388976","active",0,64,"2026-02-18 08:23:27","2026-02-18 08:23:27","2026-02-18 08:23:27"
