ID,CPR,Phone,Name,Hits,Status,"Is Winner","IP Address","Created At","Updated At"
1,294985923,31281118,"أحمد تركي العجمي",107,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
2,741988819,35925664,"بدر ناصر الكواري",77,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
3,092979477,38984808,"فهد عائشة الخليفة",17,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
4,596823112,34427353,"عائشة عبدالرحمن آل سعود",95,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
5,506219042,33469655,"إبراهيم ريم آل نهيان",138,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
6,907143434,32175165,"سلمان ناصر العجمي",18,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
7,892299233,33805752,"ناصر خالد الجودر",82,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
8,125654054,38119388,"بدر يوسف الخليفة",88,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
9,910629356,39676743,"سارة يوسف الصباح",43,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
10,690453125,34017197,"تركي جاسم الجودر",5,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
11,789476578,39746668,"حصة عائشة الكواري",13,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
12,649183541,34930012,"سلمان خالد البوديري",8,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
13,049579207,38536311,"لطيفة مريم الغامدي",100,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
14,169137112,32407676,"ناصر نورة آل ثاني",60,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
15,403209464,32024637,"ناصر ناصر المطيري",107,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
16,821241714,35538457,"صالح ريم آل سعود",133,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
17,502109360,32463883,"يوسف مريم السبيعي",136,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
18,893867937,39753979,"ياسر يوسف القحطاني",121,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
19,932457872,37404554,"فهد عبدالرحمن الذوادي",120,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
20,047637373,31879577,"بدر لطيفة الجودر",89,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
21,554110319,36997842,"مريم العنود الكواري",15,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
22,965327492,31847743,"ناصر مشعل الصباح",90,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
23,723545034,34302554,"لطيفة محمد آل سعود",75,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
24,016544844,39530436,"صالح خالد المطيري",102,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
25,268137439,37404676,"لطيفة صالح العتيبي",51,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
26,420388976,37238931,"عائشة نورة بوجيري",64,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
27,271676109,35196073,"لطيفة لطيفة القحطاني",136,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
28,469395737,32410990,"تركي محمد آل سعود",57,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
29,331004495,31025794,"فهد أحمد آل سعود",48,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
30,741394682,37431628,"نورة سلطان العجمي",106,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
31,568963423,37907133,"خالد لطيفة بوجيري",12,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
32,683326658,38141187,"جواهر يوسف الشمري",110,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
33,438472041,36582730,"جاسم محمد الشمري",46,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
34,064758739,35158722,"إبراهيم محمد العجمي",22,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
35,919866943,32967976,"جواهر سلطان العجمي",88,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
36,500027942,39628632,"نورة خالد الشمري",6,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
37,854148213,30992398,"مشعل خالد البوديري",45,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
38,162311863,38748440,"مريم حمد الشمري",97,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
39,700526200,35441370,"نورة جاسم الحربي",44,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
40,111802084,31845211,"نورة صالح العتيبي",24,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
41,583792301,32361267,"مشعل يوسف المطيري",87,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
42,626362498,36533079,"سعد ريم العتيبي",136,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
43,678273205,38826737,"مريم حصة الدوسري",15,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
44,227690170,30164471,"سعد سلطان القحطاني",141,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
45,267922184,36727015,"صالح ياسر القحطاني",120,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
46,033027850,34202120,"سارة حصة المناعي",43,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
47,454897728,31160194,"سلمان فهد العتيبي",63,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
48,851221780,34476034,"مشعل مشعل المطيري",130,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
49,522460109,38966225,"سلمان فاطمة القحطاني",18,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
50,136299891,36810337,"أحمد العنود المطيري",53,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
51,803498980,34202612,"جاسم عبدالرحمن العتيبي",8,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
52,232354425,32587432,"ياسر جواهر الغامدي",39,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
53,115199849,31418162,"فاطمة ناصر آل ثاني",87,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
54,795004789,34806318,"سلطان العنود الجودر",143,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
55,439163992,34745624,"حصة صالح المطيري",100,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
56,610117020,33556113,"سلمان جاسم المناعي",127,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
57,971654747,34637271,"نورة يوسف الجودر",35,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
58,546546890,31980006,"ناصر سعد البوديري",119,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
59,773516782,39034375,"سعد إبراهيم الدوسري",59,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
60,127982851,38765472,"مريم عبدالرحمن آل نهيان",33,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
61,723191216,38210459,"سلمان محمد الذوادي",83,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
62,401683083,39668162,"عائشة حصة الذوادي",77,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
63,159809210,31341563,"ريم سارة بوجيري",86,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
64,262571855,37693680,"بدر جاسم الجودر",147,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
65,549220257,34507258,"عبدالله إبراهيم الدوسري",132,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
66,662370457,38884513,"محمد ريم البوديري",140,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
67,085989839,32555223,"جاسم سعد آل سعود",142,blocked,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
68,414390717,34169342,"سلطان مريم الجودر",102,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
69,588241178,32105246,"يوسف جاسم المطيري",58,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
70,846709162,39234693,"بدر فهد الحربي",132,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
71,454353479,34093015,"تركي تركي بوجيري",35,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
72,434349233,33896638,"نورة بدر الغامدي",150,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
73,070150348,32617120,"مريم صالح الغامدي",90,inactive,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
74,758875199,35376704,"ناصر لطيفة الجودر",119,active,No,,"2026-04-28 16:41:03","2026-04-28 16:41:03"
